x,T,,,,,,
4.80E-01,7.20E-05,,,,,,
4.81E-01,6.83E-05,,,,,,
4.82E-01,6.48E-05,,,,,,
4.83E-01,6.14E-05,,,,,,
4.84E-01,5.82E-05,,,,,,
4.85E-01,5.52E-05,,,,,,
4.86E-01,5.23E-05,,,,,,
4.87E-01,4.95E-05,,,,,,
4.88E-01,4.69E-05,,,,,,
4.89E-01,4.45E-05,,,,,,
4.90E-01,4.21E-05,,,,,,
4.91E-01,3.99E-05,,,,,,
4.92E-01,3.78E-05,,,,,,
4.93E-01,3.58E-05,,,,,,
4.94E-01,3.39E-05,,,,,,
4.95E-01,3.21E-05,,,,,,
4.96E-01,3.04E-05,,,,,,
4.97E-01,2.88E-05,,,,,,
4.98E-01,2.72E-05,,,,,,
4.99E-01,2.58E-05,,,,,,
5.00E-01,2.44E-05,,,,,,
5.01E-01,2.31E-05,,,,,,
5.02E-01,2.18E-05,,,,,,
5.03E-01,2.07E-05,,,,,,
5.04E-01,1.95E-05,,,,,,
5.05E-01,1.85E-05,,,,,,
5.06E-01,1.75E-05,,,,,,
5.07E-01,1.65E-05,,,,,,
5.08E-01,1.56E-05,,,,,,
5.09E-01,1.48E-05,,,,,,
5.10E-01,1.40E-05,,,,,,
5.11E-01,1.32E-05,,,,,,
5.12E-01,1.25E-05,,,,,,
5.13E-01,1.18E-05,,,,,,
5.14E-01,1.11E-05,,,,,,
5.15E-01,1.05E-05,,,,,,
5.16E-01,9.95E-06,,,,,,
5.17E-01,9.40E-06,,,,,,
5.18E-01,8.88E-06,,,,,,
5.19E-01,8.39E-06,,,,,,
5.20E-01,7.92E-06,,,,,,
5.21E-01,7.48E-06,,,,,,
5.22E-01,7.06E-06,,,,,,
5.23E-01,6.67E-06,,,,,,
5.24E-01,6.30E-06,,,,,,
5.25E-01,5.94E-06,,,,,,
5.26E-01,5.61E-06,,,,,,
5.27E-01,5.29E-06,,,,,,
5.28E-01,4.99E-06,,,,,,
5.29E-01,4.71E-06,,,,,,
5.30E-01,4.45E-06,,,,,,
5.31E-01,4.19E-06,,,,,,
5.32E-01,3.96E-06,,,,,,
5.33E-01,3.73E-06,,,,,,
5.34E-01,3.52E-06,,,,,,
5.35E-01,3.32E-06,,,,,,
5.36E-01,3.13E-06,,,,,,
5.37E-01,2.95E-06,,,,,,
5.38E-01,2.78E-06,,,,,,
5.39E-01,2.62E-06,,,,,,
5.40E-01,2.47E-06,,,,,,
5.41E-01,2.33E-06,,,,,,
5.42E-01,2.19E-06,,,,,,
5.43E-01,2.07E-06,,,,,,
5.44E-01,1.95E-06,,,,,,
5.45E-01,1.83E-06,,,,,,
5.46E-01,1.73E-06,,,,,,
5.47E-01,1.63E-06,,,,,,
5.48E-01,1.53E-06,,,,,,
5.49E-01,1.44E-06,,,,,,
5.50E-01,1.36E-06,,,,,,
5.51E-01,1.28E-06,,,,,,
5.52E-01,1.20E-06,,,,,,
5.53E-01,1.13E-06,,,,,,
5.54E-01,1.07E-06,,,,,,
5.55E-01,1.00E-06,,,,,,
5.56E-01,9.43E-07,,,,,,
5.57E-01,8.87E-07,,,,,,
5.58E-01,8.35E-07,,,,,,
5.59E-01,7.85E-07,,,,,,
5.60E-01,7.38E-07,,,,,,
5.61E-01,6.94E-07,,,,,,
5.62E-01,6.53E-07,,,,,,
5.63E-01,6.14E-07,,,,,,
5.64E-01,5.77E-07,,,,,,
5.65E-01,5.42E-07,,,,,,
5.66E-01,5.10E-07,,,,,,
5.67E-01,4.79E-07,,,,,,
5.68E-01,4.50E-07,,,,,,
5.69E-01,4.23E-07,,,,,,
5.70E-01,3.97E-07,,,,,,
5.71E-01,3.73E-07,,,,,,
5.72E-01,3.51E-07,,,,,,
5.73E-01,3.29E-07,,,,,,
5.74E-01,3.09E-07,,,,,,
5.75E-01,2.90E-07,,,,,,
5.76E-01,2.73E-07,,,,,,
5.77E-01,2.56E-07,,,,,,
5.78E-01,2.40E-07,,,,,,
5.79E-01,2.26E-07,,,,,,
5.80E-01,2.12E-07,,,,,,
5.81E-01,1.99E-07,,,,,,
5.82E-01,1.86E-07,,,,,,
5.83E-01,1.75E-07,,,,,,
5.84E-01,1.64E-07,,,,,,
5.85E-01,1.54E-07,,,,,,
5.86E-01,1.44E-07,,,,,,
5.87E-01,1.35E-07,,,,,,
5.88E-01,1.27E-07,,,,,,
5.89E-01,1.19E-07,,,,,,
5.90E-01,1.12E-07,,,,,,
5.91E-01,1.05E-07,,,,,,
5.92E-01,9.81E-08,,,,,,
5.93E-01,9.19E-08,,,,,,
5.94E-01,8.62E-08,,,,,,
5.95E-01,8.07E-08,,,,,,
5.96E-01,7.56E-08,,,,,,
5.97E-01,7.09E-08,,,,,,
5.98E-01,6.64E-08,,,,,,
5.99E-01,6.22E-08,,,,,,
6.00E-01,5.82E-08,,,,,,
6.01E-01,5.45E-08,,,,,,
6.02E-01,5.11E-08,,,,,,
6.03E-01,4.78E-08,,,,,,
6.04E-01,4.48E-08,,,,,,
6.05E-01,4.19E-08,,,,,,
6.06E-01,3.92E-08,,,,,,
6.07E-01,3.67E-08,,,,,,
6.08E-01,3.44E-08,,,,,,
6.09E-01,3.21E-08,,,,,,
6.10E-01,3.01E-08,,,,,,
6.11E-01,2.81E-08,,,,,,
6.12E-01,2.63E-08,,,,,,
6.13E-01,2.46E-08,,,,,,
6.14E-01,2.30E-08,,,,,,
6.15E-01,2.15E-08,,,,,,
6.16E-01,2.01E-08,,,,,,
6.17E-01,1.88E-08,,,,,,
6.18E-01,1.76E-08,,,,,,
6.19E-01,1.64E-08,,,,,,
6.20E-01,1.54E-08,,,,,,
6.21E-01,1.44E-08,,,,,,
6.22E-01,1.34E-08,,,,,,
6.23E-01,1.25E-08,,,,,,
6.24E-01,1.17E-08,,,,,,
6.25E-01,1.09E-08,,,,,,
6.26E-01,1.02E-08,,,,,,
6.27E-01,9.54E-09,,,,,,
6.28E-01,8.91E-09,,,,,,
6.29E-01,8.32E-09,,,,,,
6.30E-01,7.77E-09,,,,,,
6.31E-01,7.25E-09,,,,,,
6.32E-01,6.77E-09,,,,,,
6.33E-01,6.32E-09,,,,,,
6.34E-01,5.90E-09,,,,,,
6.35E-01,5.50E-09,,,,,,
6.36E-01,5.14E-09,,,,,,
6.37E-01,4.79E-09,,,,,,
6.38E-01,4.47E-09,,,,,,
6.39E-01,4.17E-09,,,,,,
6.40E-01,3.89E-09,,,,,,
6.41E-01,3.63E-09,,,,,,
6.42E-01,3.38E-09,,,,,,
6.43E-01,3.15E-09,,,,,,
6.44E-01,2.94E-09,,,,,,
6.45E-01,2.74E-09,,,,,,
6.46E-01,2.55E-09,,,,,,
6.47E-01,2.38E-09,,,,,,
6.48E-01,2.22E-09,,,,,,
6.49E-01,2.07E-09,,,,,,
6.50E-01,1.93E-09,,,,,,
6.51E-01,1.79E-09,,,,,,
6.52E-01,1.67E-09,,,,,,
6.53E-01,1.56E-09,,,,,,
6.54E-01,1.45E-09,,,,,,
6.55E-01,1.35E-09,,,,,,
6.56E-01,1.26E-09,,,,,,
6.57E-01,1.17E-09,,,,,,
6.58E-01,1.09E-09,,,,,,
6.59E-01,1.01E-09,,,,,,
6.60E-01,9.43E-10,,,,,,
6.61E-01,8.78E-10,,,,,,
6.62E-01,8.17E-10,,,,,,
6.63E-01,7.60E-10,,,,,,
6.64E-01,7.07E-10,,,,,,
6.65E-01,6.58E-10,,,,,,
6.66E-01,6.12E-10,,,,,,
6.67E-01,5.69E-10,,,,,,
6.68E-01,5.29E-10,,,,,,
6.69E-01,4.92E-10,,,,,,
6.70E-01,4.58E-10,,,,,,
6.71E-01,4.25E-10,,,,,,
6.72E-01,3.95E-10,,,,,,
6.73E-01,3.67E-10,,,,,,
6.74E-01,3.42E-10,,,,,,
6.75E-01,3.17E-10,,,,,,
6.76E-01,2.95E-10,,,,,,
6.77E-01,2.74E-10,,,,,,
6.78E-01,2.54E-10,,,,,,
6.79E-01,2.36E-10,,,,,,
6.80E-01,2.20E-10,,,,,,
6.81E-01,2.04E-10,,,,,,
6.82E-01,1.89E-10,,,,,,
6.83E-01,1.76E-10,,,,,,
6.84E-01,1.63E-10,,,,,,
6.85E-01,1.51E-10,,,,,,
6.86E-01,1.41E-10,,,,,,
6.87E-01,1.30E-10,,,,,,
6.88E-01,1.21E-10,,,,,,
6.89E-01,1.12E-10,,,,,,
6.90E-01,1.04E-10,,,,,,
6.91E-01,9.67E-11,,,,,,
6.92E-01,8.97E-11,,,,,,
6.93E-01,8.32E-11,,,,,,
6.94E-01,7.72E-11,,,,,,
6.95E-01,7.16E-11,,,,,,
6.96E-01,6.63E-11,,,,,,
6.97E-01,6.15E-11,,,,,,
6.98E-01,5.70E-11,,,,,,
6.99E-01,5.29E-11,,,,,,
7.00E-01,4.90E-11,,,,,,
7.01E-01,4.54E-11,,,,,,
7.02E-01,4.21E-11,,,,,,
7.03E-01,3.90E-11,,,,,,
7.04E-01,3.61E-11,,,,,,
7.05E-01,3.34E-11,,,,,,
7.06E-01,3.10E-11,,,,,,
7.07E-01,2.87E-11,,,,,,
7.08E-01,2.66E-11,,,,,,
7.09E-01,2.46E-11,,,,,,
7.10E-01,2.28E-11,,,,,,
7.11E-01,2.11E-11,,,,,,
7.12E-01,1.95E-11,,,,,,
7.13E-01,1.81E-11,,,,,,
7.14E-01,1.67E-11,,,,,,
7.15E-01,1.55E-11,,,,,,
7.16E-01,1.43E-11,,,,,,
7.17E-01,1.32E-11,,,,,,
7.18E-01,1.23E-11,,,,,,
7.19E-01,1.13E-11,,,,,,
7.20E-01,1.05E-11,,,,,,
7.21E-01,9.69E-12,,,,,,
7.22E-01,8.96E-12,,,,,,
7.23E-01,8.29E-12,,,,,,
7.24E-01,7.66E-12,,,,,,
7.25E-01,7.08E-12,,,,,,
7.26E-01,6.55E-12,,,,,,
7.27E-01,6.05E-12,,,,,,
7.28E-01,5.59E-12,,,,,,
7.29E-01,5.17E-12,,,,,,
7.30E-01,4.77E-12,,,,,,
7.31E-01,4.41E-12,,,,,,
7.32E-01,4.07E-12,,,,,,
7.33E-01,3.76E-12,,,,,,
7.34E-01,3.47E-12,,,,,,
7.35E-01,3.21E-12,,,,,,
7.36E-01,2.96E-12,,,,,,
7.37E-01,2.73E-12,,,,,,
7.38E-01,2.52E-12,,,,,,
7.39E-01,2.33E-12,,,,,,
7.40E-01,2.15E-12,,,,,,
7.41E-01,1.98E-12,,,,,,
7.42E-01,1.83E-12,,,,,,
7.43E-01,1.69E-12,,,,,,
7.44E-01,1.56E-12,,,,,,
7.45E-01,1.44E-12,,,,,,
7.46E-01,1.33E-12,,,,,,
7.47E-01,1.22E-12,,,,,,
7.48E-01,1.13E-12,,,,,,
7.49E-01,1.04E-12,,,,,,
7.50E-01,9.59E-13,,,,,,
7.51E-01,8.84E-13,,,,,,
7.52E-01,8.15E-13,,,,,,
7.53E-01,7.51E-13,,,,,,
7.54E-01,6.92E-13,,,,,,
7.55E-01,6.38E-13,,,,,,
7.56E-01,5.87E-13,,,,,,
7.57E-01,5.41E-13,,,,,,
7.58E-01,4.98E-13,,,,,,
7.59E-01,4.59E-13,,,,,,
7.60E-01,4.23E-13,,,,,,
7.61E-01,3.89E-13,,,,,,
7.62E-01,3.59E-13,,,,,,
7.63E-01,3.30E-13,,,,,,
7.64E-01,3.04E-13,,,,,,
7.65E-01,2.80E-13,,,,,,
7.66E-01,2.57E-13,,,,,,
7.67E-01,2.37E-13,,,,,,
7.68E-01,2.18E-13,,,,,,
7.69E-01,2.01E-13,,,,,,
7.70E-01,1.85E-13,,,,,,
7.71E-01,1.70E-13,,,,,,
7.72E-01,1.56E-13,,,,,,
7.73E-01,1.44E-13,,,,,,
7.74E-01,1.32E-13,,,,,,
7.75E-01,1.21E-13,,,,,,
7.76E-01,1.12E-13,,,,,,
7.77E-01,1.03E-13,,,,,,
7.78E-01,9.44E-14,,,,,,
7.79E-01,8.68E-14,,,,,,
7.80E-01,7.97E-14,,,,,,
7.81E-01,7.33E-14,,,,,,
7.82E-01,6.73E-14,,,,,,
7.83E-01,6.19E-14,,,,,,
7.84E-01,5.68E-14,,,,,,
7.85E-01,5.22E-14,,,,,,
7.86E-01,4.79E-14,,,,,,
7.87E-01,4.40E-14,,,,,,
7.88E-01,4.04E-14,,,,,,
7.89E-01,3.71E-14,,,,,,
7.90E-01,3.41E-14,,,,,,
7.91E-01,3.13E-14,,,,,,
7.92E-01,2.87E-14,,,,,,
7.93E-01,2.64E-14,,,,,,
7.94E-01,2.42E-14,,,,,,
7.95E-01,2.22E-14,,,,,,
7.96E-01,2.04E-14,,,,,,
7.97E-01,1.87E-14,,,,,,
7.98E-01,1.71E-14,,,,,,
7.99E-01,1.57E-14,,,,,,
8.00E-01,1.44E-14,,,,,,
8.01E-01,1.32E-14,,,,,,
8.02E-01,1.21E-14,,,,,,
8.03E-01,1.11E-14,,,,,,
8.04E-01,1.02E-14,,,,,,
8.05E-01,9.34E-15,,,,,,
8.06E-01,8.56E-15,,,,,,
8.07E-01,7.84E-15,,,,,,
8.08E-01,7.19E-15,,,,,,
8.09E-01,6.59E-15,,,,,,
8.10E-01,6.03E-15,,,,,,
8.11E-01,5.53E-15,,,,,,
8.12E-01,5.06E-15,,,,,,
8.13E-01,4.64E-15,,,,,,
8.14E-01,4.25E-15,,,,,,
8.15E-01,3.89E-15,,,,,,
8.16E-01,3.56E-15,,,,,,
8.17E-01,3.26E-15,,,,,,
8.18E-01,2.98E-15,,,,,,
8.19E-01,2.73E-15,,,,,,
8.20E-01,2.50E-15,,,,,,
8.21E-01,2.29E-15,,,,,,
8.22E-01,2.09E-15,,,,,,
8.23E-01,1.91E-15,,,,,,
8.24E-01,1.75E-15,,,,,,
8.25E-01,1.60E-15,,,,,,
8.26E-01,1.46E-15,,,,,,
8.27E-01,1.34E-15,,,,,,
8.28E-01,1.22E-15,,,,,,
8.29E-01,1.12E-15,,,,,,
8.30E-01,1.02E-15,,,,,,
8.31E-01,9.36E-16,,,,,,
8.32E-01,8.55E-16,,,,,,
8.33E-01,7.82E-16,,,,,,
8.34E-01,7.14E-16,,,,,,
8.35E-01,6.53E-16,,,,,,
8.36E-01,5.96E-16,,,,,,
8.37E-01,5.45E-16,,,,,,
8.38E-01,4.98E-16,,,,,,
8.39E-01,4.55E-16,,,,,,
8.40E-01,4.15E-16,,,,,,
8.41E-01,3.79E-16,,,,,,
8.42E-01,3.46E-16,,,,,,
8.43E-01,3.16E-16,,,,,,
8.44E-01,2.88E-16,,,,,,
8.45E-01,2.63E-16,,,,,,
8.46E-01,2.40E-16,,,,,,
8.47E-01,2.19E-16,,,,,,
8.48E-01,2.00E-16,,,,,,
8.49E-01,1.83E-16,,,,,,
8.50E-01,1.67E-16,,,,,,
8.51E-01,1.52E-16,,,,,,
8.52E-01,1.39E-16,,,,,,
8.53E-01,1.26E-16,,,,,,
8.54E-01,1.15E-16,,,,,,
8.55E-01,1.05E-16,,,,,,
8.56E-01,9.58E-17,,,,,,
8.57E-01,8.73E-17,,,,,,
8.58E-01,7.96E-17,,,,,,
8.59E-01,7.25E-17,,,,,,
8.60E-01,6.61E-17,,,,,,
8.61E-01,6.02E-17,,,,,,
8.62E-01,5.49E-17,,,,,,
8.63E-01,5.00E-17,,,,,,
8.64E-01,4.55E-17,,,,,,
8.65E-01,4.15E-17,,,,,,
8.66E-01,3.78E-17,,,,,,
8.67E-01,3.44E-17,,,,,,
8.68E-01,3.13E-17,,,,,,
8.69E-01,2.85E-17,,,,,,
8.70E-01,2.60E-17,,,,,,
8.71E-01,2.36E-17,,,,,,
8.72E-01,2.15E-17,,,,,,
8.73E-01,1.96E-17,,,,,,
8.74E-01,1.78E-17,,,,,,
8.75E-01,1.62E-17,,,,,,
8.76E-01,1.47E-17,,,,,,
8.77E-01,1.34E-17,,,,,,
8.78E-01,1.22E-17,,,,,,
8.79E-01,1.11E-17,,,,,,
8.80E-01,1.01E-17,,,,,,
8.81E-01,9.18E-18,,,,,,
8.82E-01,8.34E-18,,,,,,
8.83E-01,7.59E-18,,,,,,
8.84E-01,6.89E-18,,,,,,
8.85E-01,6.27E-18,,,,,,
8.86E-01,5.70E-18,,,,,,
8.87E-01,5.18E-18,,,,,,
8.88E-01,4.70E-18,,,,,,
8.89E-01,4.27E-18,,,,,,
8.90E-01,3.88E-18,,,,,,
8.91E-01,3.53E-18,,,,,,
8.92E-01,3.20E-18,,,,,,
8.93E-01,2.91E-18,,,,,,
8.94E-01,2.64E-18,,,,,,
8.95E-01,2.40E-18,,,,,,
8.96E-01,2.18E-18,,,,,,
8.97E-01,1.98E-18,,,,,,
8.98E-01,1.79E-18,,,,,,
8.99E-01,1.63E-18,,,,,,
9.00E-01,1.48E-18,,,,,,
9.01E-01,1.34E-18,,,,,,
9.02E-01,1.22E-18,,,,,,
9.03E-01,1.10E-18,,,,,,
9.04E-01,1.00E-18,,,,,,
9.05E-01,9.07E-19,,,,,,
9.06E-01,8.23E-19,,,,,,
9.07E-01,7.46E-19,,,,,,
9.08E-01,6.77E-19,,,,,,
9.09E-01,6.13E-19,,,,,,
9.10E-01,5.56E-19,,,,,,
9.11E-01,5.04E-19,,,,,,
9.12E-01,4.57E-19,,,,,,
9.13E-01,4.14E-19,,,,,,
9.14E-01,3.75E-19,,,,,,
9.15E-01,3.40E-19,,,,,,
9.16E-01,3.08E-19,,,,,,
9.17E-01,2.79E-19,,,,,,
9.18E-01,2.53E-19,,,,,,
9.19E-01,2.29E-19,,,,,,
9.20E-01,2.07E-19,,,,,,
9.21E-01,1.88E-19,,,,,,
9.22E-01,1.70E-19,,,,,,
9.23E-01,1.54E-19,,,,,,
9.24E-01,1.39E-19,,,,,,
9.25E-01,1.26E-19,,,,,,
9.26E-01,1.14E-19,,,,,,
9.27E-01,1.03E-19,,,,,,
9.28E-01,9.34E-20,,,,,,
9.29E-01,8.46E-20,,,,,,
9.30E-01,7.65E-20,,,,,,
9.31E-01,6.92E-20,,,,,,
9.32E-01,6.27E-20,,,,,,
9.33E-01,5.67E-20,,,,,,
9.34E-01,5.13E-20,,,,,,
9.35E-01,4.64E-20,,,,,,
9.36E-01,4.20E-20,,,,,,
9.37E-01,3.81E-20,,,,,,
9.38E-01,3.45E-20,,,,,,
9.39E-01,3.12E-20,,,,,,
9.40E-01,2.83E-20,,,,,,
9.41E-01,2.57E-20,,,,,,
9.42E-01,2.33E-20,,,,,,
9.43E-01,2.11E-20,,,,,,
9.44E-01,1.92E-20,,,,,,
9.45E-01,1.75E-20,,,,,,
9.46E-01,1.60E-20,,,,,,
9.47E-01,1.46E-20,,,,,,
9.48E-01,1.34E-20,,,,,,
9.49E-01,1.23E-20,,,,,,
9.50E-01,1.13E-20,,,,,,
9.51E-01,1.05E-20,,,,,,
9.52E-01,9.75E-21,,,,,,
9.53E-01,9.12E-21,,,,,,
9.54E-01,8.59E-21,,,,,,
9.55E-01,8.15E-21,,,,,,
9.56E-01,7.80E-21,,,,,,
9.57E-01,7.52E-21,,,,,,
9.58E-01,7.33E-21,,,,,,
9.59E-01,7.22E-21,,,,,,
9.60E-01,7.18E-21,,,,,,
