xc,Tc
0.00E+00,0.00E+00
1.00E-03,4.00E-22
2.00E-03,1.08E-21
3.00E-03,2.20E-21
4.00E-03,3.97E-21
5.00E-03,6.71E-21
6.00E-03,1.09E-20
7.00E-03,1.71E-20
8.00E-03,2.63E-20
9.00E-03,3.98E-20
1.00E-02,5.95E-20
1.10E-02,8.78E-20
1.20E-02,1.28E-19
1.30E-02,1.86E-19
1.40E-02,2.69E-19
1.50E-02,3.85E-19
1.60E-02,5.48E-19
1.70E-02,7.76E-19
1.80E-02,1.09E-18
1.90E-02,1.54E-18
2.00E-02,2.15E-18
2.10E-02,3.00E-18
2.20E-02,4.16E-18
2.30E-02,5.76E-18
2.40E-02,7.95E-18
2.50E-02,1.10E-17
2.60E-02,1.50E-17
2.70E-02,2.06E-17
2.80E-02,2.81E-17
2.90E-02,3.83E-17
3.00E-02,5.21E-17
3.10E-02,7.07E-17
3.20E-02,9.57E-17
3.30E-02,1.29E-16
3.40E-02,1.74E-16
3.50E-02,2.34E-16
3.60E-02,3.15E-16
3.70E-02,4.22E-16
3.80E-02,5.65E-16
3.90E-02,7.54E-16
4.00E-02,1.01E-15
4.10E-02,1.34E-15
4.20E-02,1.78E-15
4.30E-02,2.36E-15
4.40E-02,3.12E-15
4.50E-02,4.13E-15
4.60E-02,5.45E-15
4.70E-02,7.18E-15
4.80E-02,9.45E-15
4.90E-02,1.24E-14
5.00E-02,1.63E-14
5.10E-02,2.13E-14
5.20E-02,2.79E-14
5.30E-02,3.64E-14
5.40E-02,4.75E-14
5.50E-02,6.19E-14
5.60E-02,8.05E-14
5.70E-02,1.05E-13
5.80E-02,1.36E-13
5.90E-02,1.76E-13
6.00E-02,2.27E-13
6.10E-02,2.93E-13
6.20E-02,3.78E-13
6.30E-02,4.87E-13
6.40E-02,6.26E-13
6.50E-02,8.04E-13
6.60E-02,1.03E-12
6.70E-02,1.32E-12
6.80E-02,1.69E-12
6.90E-02,2.16E-12
7.00E-02,2.76E-12
7.10E-02,3.51E-12
7.20E-02,4.47E-12
7.30E-02,5.68E-12
7.40E-02,7.21E-12
7.50E-02,9.14E-12
7.60E-02,1.16E-11
7.70E-02,1.46E-11
7.80E-02,1.85E-11
7.90E-02,2.33E-11
8.00E-02,2.94E-11
8.10E-02,3.70E-11
8.20E-02,4.64E-11
8.30E-02,5.83E-11
8.40E-02,7.31E-11
8.50E-02,9.15E-11
8.60E-02,1.14E-10
8.70E-02,1.43E-10
8.80E-02,1.78E-10
8.90E-02,2.22E-10
9.00E-02,2.76E-10
9.10E-02,3.43E-10
9.20E-02,4.26E-10
9.30E-02,5.29E-10
9.40E-02,6.55E-10
9.50E-02,8.10E-10
9.60E-02,1.00E-09
9.70E-02,1.23E-09
9.80E-02,1.52E-09
9.90E-02,1.87E-09
1.00E-01,2.30E-09
1.01E-01,2.83E-09
1.02E-01,3.47E-09
1.03E-01,4.25E-09
1.04E-01,5.20E-09
1.05E-01,6.36E-09
1.06E-01,7.76E-09
1.07E-01,9.47E-09
1.08E-01,1.15E-08
1.09E-01,1.40E-08
1.10E-01,1.70E-08
1.11E-01,2.07E-08
1.12E-01,2.51E-08
1.13E-01,3.04E-08
1.14E-01,3.67E-08
1.15E-01,4.44E-08
1.16E-01,5.35E-08
1.17E-01,6.45E-08
1.18E-01,7.77E-08
1.19E-01,9.34E-08
1.20E-01,1.12E-07
1.21E-01,1.35E-07
1.22E-01,1.61E-07
1.23E-01,1.93E-07
1.24E-01,2.31E-07
1.25E-01,2.76E-07
1.26E-01,3.29E-07
1.27E-01,3.92E-07
1.28E-01,4.67E-07
1.29E-01,5.55E-07
1.30E-01,6.59E-07
1.31E-01,7.81E-07
1.32E-01,9.26E-07
1.33E-01,1.10E-06
1.34E-01,1.29E-06
1.35E-01,1.53E-06
1.36E-01,1.80E-06
1.37E-01,2.12E-06
1.38E-01,2.50E-06
1.39E-01,2.94E-06
1.40E-01,3.45E-06
1.41E-01,4.05E-06
1.42E-01,4.74E-06
1.43E-01,5.54E-06
1.44E-01,6.48E-06
1.45E-01,7.57E-06
1.46E-01,8.82E-06
1.47E-01,1.03E-05
1.48E-01,1.20E-05
1.49E-01,1.39E-05
1.50E-01,1.61E-05
1.51E-01,1.87E-05
1.52E-01,2.17E-05
1.53E-01,2.51E-05
1.54E-01,2.90E-05
1.55E-01,3.35E-05
1.56E-01,3.86E-05
1.57E-01,4.44E-05
1.58E-01,5.11E-05
1.59E-01,5.88E-05
1.60E-01,6.74E-05
1.61E-01,7.73E-05
1.62E-01,8.86E-05
1.63E-01,1.01E-04
1.64E-01,1.16E-04
1.65E-01,1.32E-04
1.66E-01,1.51E-04
1.67E-01,1.72E-04
1.68E-01,1.95E-04
1.69E-01,2.22E-04
1.70E-01,2.52E-04
1.71E-01,2.86E-04
1.72E-01,3.24E-04
1.73E-01,3.67E-04
1.74E-01,4.14E-04
1.75E-01,4.68E-04
1.76E-01,5.28E-04
1.77E-01,5.94E-04
1.78E-01,6.69E-04
1.79E-01,7.52E-04
1.80E-01,8.44E-04
1.81E-01,9.47E-04
1.82E-01,1.06E-03
1.83E-01,1.19E-03
1.84E-01,1.33E-03
1.85E-01,1.48E-03
1.86E-01,1.65E-03
1.87E-01,1.84E-03
1.88E-01,2.05E-03
1.89E-01,2.28E-03
1.90E-01,2.53E-03
1.91E-01,2.81E-03
1.92E-01,3.11E-03
1.93E-01,3.44E-03
1.94E-01,3.81E-03
1.95E-01,4.20E-03
1.96E-01,4.64E-03
1.97E-01,5.11E-03
1.98E-01,5.63E-03
1.99E-01,6.19E-03
2.00E-01,6.80E-03
2.01E-01,7.46E-03
2.02E-01,8.17E-03
2.03E-01,8.95E-03
2.04E-01,9.78E-03
2.05E-01,1.07E-02
2.06E-01,1.17E-02
2.07E-01,1.27E-02
2.08E-01,1.38E-02
2.09E-01,1.51E-02
2.10E-01,1.64E-02
2.11E-01,1.77E-02
2.12E-01,1.92E-02
2.13E-01,2.08E-02
2.14E-01,2.25E-02
2.15E-01,2.44E-02
2.16E-01,2.63E-02
2.17E-01,2.83E-02
2.18E-01,3.05E-02
2.19E-01,3.28E-02
2.20E-01,3.53E-02
2.21E-01,3.79E-02
2.22E-01,4.06E-02
2.23E-01,4.35E-02
2.24E-01,4.66E-02
2.25E-01,4.98E-02
2.26E-01,5.31E-02
2.27E-01,5.67E-02
2.28E-01,6.04E-02
2.29E-01,6.42E-02
2.30E-01,6.83E-02
2.31E-01,7.25E-02
2.32E-01,7.69E-02
2.33E-01,8.15E-02
2.34E-01,8.62E-02
2.35E-01,9.12E-02
2.36E-01,9.63E-02
2.37E-01,1.02E-01
2.38E-01,1.07E-01
2.39E-01,1.13E-01
2.40E-01,1.18E-01
2.41E-01,1.24E-01
2.42E-01,1.31E-01
2.43E-01,1.37E-01
2.44E-01,1.43E-01
2.45E-01,1.50E-01
2.46E-01,1.57E-01
2.47E-01,1.63E-01
2.48E-01,1.70E-01
2.49E-01,1.77E-01
2.50E-01,1.84E-01
2.51E-01,1.92E-01
2.52E-01,1.99E-01
2.53E-01,2.06E-01
2.54E-01,2.14E-01
2.55E-01,2.21E-01
2.56E-01,2.28E-01
2.57E-01,2.36E-01
2.58E-01,2.43E-01
2.59E-01,2.50E-01
2.60E-01,2.58E-01
2.61E-01,2.65E-01
2.62E-01,2.72E-01
2.63E-01,2.79E-01
2.64E-01,2.86E-01
2.65E-01,2.93E-01
2.66E-01,2.99E-01
2.67E-01,3.05E-01
2.68E-01,3.12E-01
2.69E-01,3.18E-01
2.70E-01,3.23E-01
2.71E-01,3.29E-01
2.72E-01,3.34E-01
2.73E-01,3.39E-01
2.74E-01,3.43E-01
2.75E-01,3.48E-01
2.76E-01,3.51E-01
2.77E-01,3.55E-01
2.78E-01,3.58E-01
2.79E-01,3.61E-01
2.80E-01,3.64E-01
2.81E-01,3.66E-01
2.82E-01,3.68E-01
2.83E-01,3.69E-01
2.84E-01,3.70E-01
2.85E-01,3.71E-01
2.86E-01,3.71E-01
2.87E-01,3.71E-01
2.88E-01,3.70E-01
2.89E-01,3.69E-01
2.90E-01,3.68E-01
2.91E-01,3.66E-01
2.92E-01,3.64E-01
2.93E-01,3.61E-01
2.94E-01,3.58E-01
2.95E-01,3.55E-01
2.96E-01,3.51E-01
2.97E-01,3.47E-01
2.98E-01,3.43E-01
2.99E-01,3.38E-01
3.00E-01,3.33E-01
3.01E-01,3.28E-01
3.02E-01,3.23E-01
3.03E-01,3.17E-01
3.04E-01,3.11E-01
3.05E-01,3.05E-01
3.06E-01,2.99E-01
3.07E-01,2.92E-01
3.08E-01,2.85E-01
3.09E-01,2.79E-01
3.10E-01,2.72E-01
3.11E-01,2.64E-01
3.12E-01,2.57E-01
3.13E-01,2.50E-01
3.14E-01,2.43E-01
3.15E-01,2.35E-01
3.16E-01,2.28E-01
3.17E-01,2.21E-01
3.18E-01,2.13E-01
3.19E-01,2.06E-01
3.20E-01,1.99E-01
3.21E-01,1.91E-01
3.22E-01,1.84E-01
3.23E-01,1.77E-01
3.24E-01,1.70E-01
3.25E-01,1.63E-01
3.26E-01,1.56E-01
3.27E-01,1.50E-01
3.28E-01,1.43E-01
3.29E-01,1.37E-01
3.30E-01,1.30E-01
3.31E-01,1.24E-01
3.32E-01,1.18E-01
3.33E-01,1.13E-01
3.34E-01,1.07E-01
3.35E-01,1.02E-01
3.36E-01,9.62E-02
3.37E-01,9.11E-02
3.38E-01,8.62E-02
3.39E-01,8.15E-02
3.40E-01,7.69E-02
3.41E-01,7.25E-02
3.42E-01,6.83E-02
3.43E-01,6.43E-02
3.44E-01,6.04E-02
3.45E-01,5.67E-02
3.46E-01,5.32E-02
3.47E-01,4.98E-02
3.48E-01,4.66E-02
3.49E-01,4.36E-02
3.50E-01,4.07E-02
3.51E-01,3.80E-02
3.52E-01,3.54E-02
3.53E-01,3.30E-02
3.54E-01,3.06E-02
3.55E-01,2.85E-02
3.56E-01,2.64E-02
3.57E-01,2.45E-02
3.58E-01,2.27E-02
3.59E-01,2.10E-02
3.60E-01,1.94E-02
3.61E-01,1.79E-02
3.62E-01,1.65E-02
3.63E-01,1.52E-02
3.64E-01,1.40E-02
3.65E-01,1.28E-02
3.66E-01,1.18E-02
3.67E-01,1.08E-02
3.68E-01,9.89E-03
3.69E-01,9.05E-03
3.70E-01,8.27E-03
3.71E-01,7.55E-03
3.72E-01,6.89E-03
3.73E-01,6.28E-03
3.74E-01,5.71E-03
3.75E-01,5.19E-03
3.76E-01,4.72E-03
3.77E-01,4.28E-03
3.78E-01,3.88E-03
3.79E-01,3.51E-03
3.80E-01,3.17E-03
3.81E-01,2.87E-03
3.82E-01,2.59E-03
3.83E-01,2.33E-03
3.84E-01,2.10E-03
3.85E-01,1.89E-03
3.86E-01,1.70E-03
3.87E-01,1.52E-03
3.88E-01,1.36E-03
3.89E-01,1.22E-03
3.90E-01,1.09E-03
3.91E-01,9.76E-04
3.92E-01,8.71E-04
3.93E-01,7.77E-04
3.94E-01,6.92E-04
3.95E-01,6.16E-04
3.96E-01,5.47E-04
3.97E-01,4.86E-04
3.98E-01,4.31E-04
3.99E-01,3.82E-04
4.00E-01,3.38E-04
4.01E-01,2.99E-04
4.02E-01,2.64E-04
4.03E-01,2.33E-04
4.04E-01,2.05E-04
4.05E-01,1.80E-04
4.06E-01,1.59E-04
4.07E-01,1.39E-04
4.08E-01,1.22E-04
4.09E-01,1.07E-04
4.10E-01,9.38E-05
4.11E-01,8.20E-05
4.12E-01,7.17E-05
4.13E-01,6.25E-05
4.14E-01,5.45E-05
4.15E-01,4.75E-05
4.16E-01,4.13E-05
4.17E-01,3.59E-05
4.18E-01,3.11E-05
4.19E-01,2.70E-05
4.20E-01,2.34E-05
4.21E-01,2.02E-05
4.22E-01,1.75E-05
4.23E-01,1.51E-05
4.24E-01,1.30E-05
4.25E-01,1.12E-05
4.26E-01,9.65E-06
4.27E-01,8.30E-06
4.28E-01,7.12E-06
4.29E-01,6.11E-06
4.30E-01,5.24E-06
4.31E-01,4.48E-06
4.32E-01,3.83E-06
4.33E-01,3.27E-06
4.34E-01,2.79E-06
4.35E-01,2.38E-06
4.36E-01,2.03E-06
4.37E-01,1.72E-06
4.38E-01,1.46E-06
4.39E-01,1.24E-06
4.40E-01,1.05E-06
4.41E-01,8.91E-07
4.42E-01,7.53E-07
4.43E-01,6.37E-07
4.44E-01,5.37E-07
4.45E-01,4.53E-07
4.46E-01,3.81E-07
4.47E-01,3.21E-07
4.48E-01,2.70E-07
4.49E-01,2.26E-07
4.50E-01,1.90E-07
4.51E-01,1.59E-07
4.52E-01,1.33E-07
4.53E-01,1.11E-07
4.54E-01,9.28E-08
4.55E-01,7.74E-08
4.56E-01,6.45E-08
4.57E-01,5.37E-08
4.58E-01,4.46E-08
4.59E-01,3.70E-08
4.60E-01,3.07E-08
4.61E-01,2.55E-08
4.62E-01,2.11E-08
4.63E-01,1.74E-08
4.64E-01,1.44E-08
4.65E-01,1.19E-08
4.66E-01,9.79E-09
4.67E-01,8.06E-09
4.68E-01,6.63E-09
4.69E-01,5.44E-09
4.70E-01,4.47E-09
4.71E-01,3.66E-09
4.72E-01,3.00E-09
4.73E-01,2.45E-09
4.74E-01,2.00E-09
4.75E-01,1.64E-09
4.76E-01,1.33E-09
4.77E-01,1.09E-09
4.78E-01,8.83E-10
4.79E-01,7.18E-10
4.80E-01,5.83E-10
4.81E-01,4.72E-10
4.82E-01,3.83E-10
4.83E-01,3.10E-10
4.84E-01,2.50E-10
4.85E-01,2.02E-10
4.86E-01,1.63E-10
4.87E-01,1.31E-10
4.88E-01,1.06E-10
4.89E-01,8.49E-11
4.90E-01,6.82E-11
4.91E-01,5.47E-11
4.92E-01,4.38E-11
4.93E-01,3.51E-11
4.94E-01,2.80E-11
4.95E-01,2.24E-11
4.96E-01,1.79E-11
4.97E-01,1.42E-11
4.98E-01,1.13E-11
4.99E-01,9.02E-12
5.00E-01,7.16E-12
5.01E-01,5.68E-12
5.02E-01,4.50E-12
5.03E-01,3.57E-12
5.04E-01,2.82E-12
5.05E-01,2.23E-12
5.06E-01,1.76E-12
5.07E-01,1.39E-12
5.08E-01,1.09E-12
5.09E-01,8.59E-13
5.10E-01,6.75E-13
5.11E-01,5.30E-13
5.12E-01,4.15E-13
5.13E-01,3.25E-13
5.14E-01,2.54E-13
5.15E-01,1.99E-13
5.16E-01,1.55E-13
5.17E-01,1.21E-13
5.18E-01,9.43E-14
5.19E-01,7.34E-14
5.20E-01,5.70E-14
5.21E-01,4.43E-14
5.22E-01,3.43E-14
5.23E-01,2.66E-14
5.24E-01,2.06E-14
5.25E-01,1.59E-14
5.26E-01,1.23E-14
5.27E-01,9.48E-15
5.28E-01,7.31E-15
5.29E-01,5.62E-15
5.30E-01,4.32E-15
5.31E-01,3.32E-15
5.32E-01,2.55E-15
5.33E-01,1.95E-15
5.34E-01,1.49E-15
5.35E-01,1.14E-15
5.36E-01,8.73E-16
5.37E-01,6.66E-16
5.38E-01,5.08E-16
5.39E-01,3.87E-16
5.40E-01,2.94E-16
5.41E-01,2.23E-16
5.42E-01,1.70E-16
5.43E-01,1.29E-16
5.44E-01,9.73E-17
5.45E-01,7.36E-17
5.46E-01,5.56E-17
5.47E-01,4.20E-17
5.48E-01,3.17E-17
5.49E-01,2.38E-17
5.50E-01,1.79E-17
5.51E-01,1.35E-17
5.52E-01,1.01E-17
5.53E-01,7.59E-18
5.54E-01,5.68E-18
5.55E-01,4.25E-18
5.56E-01,3.18E-18
5.57E-01,2.37E-18
5.58E-01,1.77E-18
5.59E-01,1.32E-18
5.60E-01,9.81E-19
5.61E-01,7.29E-19
5.62E-01,5.41E-19
5.63E-01,4.01E-19
5.64E-01,2.97E-19
5.65E-01,2.20E-19
5.66E-01,1.63E-19
5.67E-01,1.20E-19
5.68E-01,8.86E-20
5.69E-01,6.53E-20
5.70E-01,4.81E-20
5.71E-01,3.53E-20
5.72E-01,2.60E-20
5.73E-01,1.90E-20
5.74E-01,1.40E-20
5.75E-01,1.02E-20
5.76E-01,7.47E-21
5.77E-01,5.46E-21
5.78E-01,3.98E-21
5.79E-01,2.90E-21
5.80E-01,2.11E-21
5.81E-01,1.54E-21
5.82E-01,1.12E-21
5.83E-01,8.10E-22
5.84E-01,5.87E-22
5.85E-01,4.25E-22
5.86E-01,3.08E-22
5.87E-01,2.22E-22
5.88E-01,1.60E-22
5.89E-01,1.16E-22
5.90E-01,8.32E-23
5.91E-01,5.99E-23
5.92E-01,4.30E-23
5.93E-01,3.09E-23
5.94E-01,2.21E-23
5.95E-01,1.59E-23
5.96E-01,1.13E-23
5.97E-01,8.11E-24
5.98E-01,5.79E-24
5.99E-01,4.13E-24
6.00E-01,2.94E-24
6.01E-01,2.09E-24
6.02E-01,1.49E-24
6.03E-01,1.06E-24
6.04E-01,7.48E-25
6.05E-01,5.30E-25
6.06E-01,3.75E-25
6.07E-01,2.65E-25
6.08E-01,1.87E-25
6.09E-01,1.32E-25
6.10E-01,9.30E-26
6.11E-01,6.54E-26
6.12E-01,4.60E-26
6.13E-01,3.23E-26
6.14E-01,2.27E-26
6.15E-01,1.59E-26
6.16E-01,1.11E-26
6.17E-01,7.77E-27
6.18E-01,5.42E-27
6.19E-01,3.78E-27
6.20E-01,2.64E-27
6.21E-01,1.84E-27
6.22E-01,1.28E-27
6.23E-01,8.86E-28
6.24E-01,6.15E-28
6.25E-01,4.26E-28
6.26E-01,2.95E-28
6.27E-01,2.04E-28
6.28E-01,1.41E-28
6.29E-01,9.72E-29
6.30E-01,6.70E-29
6.31E-01,4.61E-29
6.32E-01,3.17E-29
6.33E-01,2.18E-29
6.34E-01,1.49E-29
6.35E-01,1.02E-29
6.36E-01,7.01E-30
6.37E-01,4.80E-30
6.38E-01,3.28E-30
6.39E-01,2.24E-30
6.40E-01,1.52E-30
6.41E-01,1.04E-30
6.42E-01,7.06E-31
6.43E-01,4.79E-31
6.44E-01,3.25E-31
6.45E-01,2.21E-31
6.46E-01,1.49E-31
6.47E-01,1.01E-31
6.48E-01,6.83E-32
6.49E-01,4.61E-32
6.50E-01,3.11E-32
6.51E-01,2.09E-32
6.52E-01,1.41E-32
6.53E-01,9.45E-33
6.54E-01,6.35E-33
6.55E-01,4.25E-33
6.56E-01,2.85E-33
6.57E-01,1.91E-33
6.58E-01,1.27E-33
6.59E-01,8.50E-34
6.60E-01,5.67E-34
6.61E-01,3.78E-34
6.62E-01,2.51E-34
6.63E-01,1.67E-34
6.64E-01,1.11E-34
6.65E-01,7.35E-35
6.66E-01,4.87E-35
6.67E-01,3.22E-35
6.68E-01,2.13E-35
6.69E-01,1.41E-35
6.70E-01,9.27E-36
6.71E-01,6.10E-36
6.72E-01,4.02E-36
6.73E-01,2.64E-36
6.74E-01,1.73E-36
6.75E-01,1.14E-36
6.76E-01,7.45E-37
6.77E-01,4.87E-37
6.78E-01,3.19E-37
6.79E-01,2.08E-37
6.80E-01,1.36E-37
6.81E-01,8.84E-38
6.82E-01,5.75E-38
6.83E-01,3.74E-38
6.84E-01,2.43E-38
6.85E-01,1.57E-38
6.86E-01,1.02E-38
6.87E-01,6.60E-39
6.88E-01,4.27E-39
6.89E-01,2.76E-39
6.90E-01,1.78E-39
6.91E-01,1.15E-39
6.92E-01,7.37E-40
6.93E-01,4.74E-40
6.94E-01,3.04E-40
6.95E-01,1.95E-40
6.96E-01,1.25E-40
6.97E-01,8.01E-41
6.98E-01,5.12E-41
6.99E-01,3.27E-41
7.00E-01,2.09E-41
7.01E-01,1.33E-41
7.02E-01,8.46E-42
7.03E-01,5.38E-42
7.04E-01,3.42E-42
7.05E-01,2.17E-42
7.06E-01,1.37E-42
7.07E-01,8.70E-43
7.08E-01,5.50E-43
7.09E-01,3.47E-43
7.10E-01,2.19E-43
7.11E-01,1.38E-43
7.12E-01,8.70E-44
7.13E-01,5.47E-44
7.14E-01,3.44E-44
7.15E-01,2.16E-44
7.16E-01,1.35E-44
7.17E-01,8.46E-45
7.18E-01,5.29E-45
7.19E-01,3.30E-45
7.20E-01,2.06E-45
7.21E-01,1.29E-45
7.22E-01,8.00E-46
7.23E-01,4.98E-46
7.24E-01,3.09E-46
7.25E-01,1.92E-46
7.26E-01,1.19E-46
7.27E-01,7.36E-47
7.28E-01,4.55E-47
7.29E-01,2.81E-47
7.30E-01,1.74E-47
7.31E-01,1.07E-47
7.32E-01,6.59E-48
7.33E-01,4.05E-48
7.34E-01,2.49E-48
7.35E-01,1.53E-48
7.36E-01,9.37E-49
7.37E-01,5.73E-49
7.38E-01,3.51E-49
7.39E-01,2.14E-49
7.40E-01,1.31E-49
7.41E-01,7.97E-50
7.42E-01,4.86E-50
7.43E-01,2.95E-50
7.44E-01,1.79E-50
7.45E-01,1.09E-50
7.46E-01,6.60E-51
7.47E-01,4.00E-51
7.48E-01,2.42E-51
7.49E-01,1.46E-51
7.50E-01,8.82E-52
7.51E-01,5.32E-52
7.52E-01,3.20E-52
7.53E-01,1.93E-52
7.54E-01,1.16E-52
7.55E-01,6.95E-53
7.56E-01,4.17E-53
7.57E-01,2.50E-53
7.58E-01,1.49E-53
7.59E-01,8.92E-54
7.60E-01,5.33E-54
7.61E-01,3.18E-54
7.62E-01,1.89E-54
7.63E-01,1.13E-54
7.64E-01,6.69E-55
7.65E-01,3.97E-55
7.66E-01,2.35E-55
7.67E-01,1.39E-55
7.68E-01,8.25E-56
7.69E-01,4.87E-56
7.70E-01,2.88E-56
7.71E-01,1.70E-56
7.72E-01,9.99E-57
7.73E-01,5.88E-57
7.74E-01,3.46E-57
7.75E-01,2.03E-57
7.76E-01,1.19E-57
7.77E-01,6.97E-58
7.78E-01,4.08E-58
7.79E-01,2.38E-58
7.80E-01,1.39E-58
7.81E-01,8.11E-59
7.82E-01,4.73E-59
7.83E-01,2.75E-59
7.84E-01,1.60E-59
7.85E-01,9.28E-60
7.86E-01,5.38E-60
7.87E-01,3.12E-60
7.88E-01,1.80E-60
7.89E-01,1.04E-60
7.90E-01,6.02E-61
7.91E-01,3.47E-61
7.92E-01,2.00E-61
7.93E-01,1.15E-61
7.94E-01,6.62E-62
7.95E-01,3.80E-62
7.96E-01,2.18E-62
7.97E-01,1.25E-62
7.98E-01,7.15E-63
7.99E-01,4.08E-63
8.00E-01,2.33E-63
8.01E-01,1.33E-63
8.02E-01,7.58E-64
8.03E-01,4.31E-64
8.04E-01,2.45E-64
8.05E-01,1.39E-64
8.06E-01,7.90E-65
8.07E-01,4.48E-65
8.08E-01,2.53E-65
8.09E-01,1.43E-65
8.10E-01,8.09E-66
8.11E-01,4.56E-66
8.12E-01,2.57E-66
8.13E-01,1.45E-66
8.14E-01,8.13E-67
8.15E-01,4.57E-67
8.16E-01,2.56E-67
8.17E-01,1.44E-67
8.18E-01,8.04E-68
8.19E-01,4.49E-68
8.20E-01,2.51E-68
8.21E-01,1.40E-68
8.22E-01,7.80E-69
8.23E-01,4.34E-69
8.24E-01,2.42E-69
8.25E-01,1.34E-69
8.26E-01,7.44E-70
8.27E-01,4.12E-70
8.28E-01,2.28E-70
8.29E-01,1.26E-70
8.30E-01,6.97E-71
8.31E-01,3.85E-71
8.32E-01,2.12E-71
8.33E-01,1.17E-71
8.34E-01,6.42E-72
8.35E-01,3.53E-72
8.36E-01,1.94E-72
8.37E-01,1.06E-72
8.38E-01,5.81E-73
8.39E-01,3.18E-73
8.40E-01,1.73E-73
8.41E-01,9.47E-74
8.42E-01,5.16E-74
8.43E-01,2.81E-74
8.44E-01,1.53E-74
8.45E-01,8.30E-75
8.46E-01,4.50E-75
8.47E-01,2.44E-75
8.48E-01,1.32E-75
8.49E-01,7.15E-76
8.50E-01,3.86E-76
8.51E-01,2.09E-76
8.52E-01,1.12E-76
8.53E-01,6.05E-77
8.54E-01,3.26E-77
8.55E-01,1.75E-77
8.56E-01,9.39E-78
8.57E-01,5.03E-78
8.58E-01,2.70E-78
8.59E-01,1.44E-78
8.60E-01,7.71E-79
8.61E-01,4.11E-79
8.62E-01,2.19E-79
8.63E-01,1.17E-79
8.64E-01,6.21E-80
8.65E-01,3.30E-80
8.66E-01,1.75E-80
8.67E-01,9.29E-81
8.68E-01,4.92E-81
8.69E-01,2.60E-81
8.70E-01,1.38E-81
8.71E-01,7.27E-82
8.72E-01,3.83E-82
8.73E-01,2.02E-82
8.74E-01,1.06E-82
8.75E-01,5.58E-83
8.76E-01,2.93E-83
8.77E-01,1.54E-83
8.78E-01,8.05E-84
8.79E-01,4.21E-84
8.80E-01,2.20E-84
8.81E-01,1.15E-84
8.82E-01,6.00E-85
8.83E-01,3.12E-85
8.84E-01,1.63E-85
8.85E-01,8.45E-86
8.86E-01,4.39E-86
8.87E-01,2.28E-86
8.88E-01,1.18E-86
8.89E-01,6.10E-87
8.90E-01,3.16E-87
8.91E-01,1.63E-87
8.92E-01,8.41E-88
8.93E-01,4.33E-88
8.94E-01,2.23E-88
8.95E-01,1.15E-88
8.96E-01,5.89E-89
8.97E-01,3.02E-89
8.98E-01,1.55E-89
8.99E-01,7.93E-90
9.00E-01,4.05E-90
9.01E-01,2.07E-90
9.02E-01,1.06E-90
9.03E-01,5.38E-91
9.04E-01,2.74E-91
9.05E-01,1.39E-91
9.06E-01,7.08E-92
9.07E-01,3.59E-92
9.08E-01,1.82E-92
9.09E-01,9.22E-93
9.10E-01,4.67E-93
9.11E-01,2.36E-93
9.12E-01,1.19E-93
9.13E-01,6.00E-94
9.14E-01,3.02E-94
9.15E-01,1.52E-94
9.16E-01,7.63E-95
9.17E-01,3.83E-95
9.18E-01,1.92E-95
9.19E-01,9.62E-96
9.20E-01,4.81E-96
9.21E-01,2.41E-96
9.22E-01,1.20E-96
9.23E-01,5.99E-97
9.24E-01,2.98E-97
9.25E-01,1.48E-97
9.26E-01,7.38E-98
9.27E-01,3.66E-98
9.28E-01,1.82E-98
9.29E-01,9.00E-99
9.30E-01,4.45E-99
9.31E-01,2.20E-99
9.32E-01,1.09E-99
9.33E-01,5.36E-100
9.34E-01,2.64E-100
9.35E-01,1.30E-100
9.36E-01,6.40E-101
9.37E-01,3.14E-101
9.38E-01,1.54E-101
9.39E-01,7.55E-102
9.40E-01,3.70E-102
9.41E-01,1.81E-102
9.42E-01,8.83E-103
9.43E-01,4.31E-103
9.44E-01,2.10E-103
9.45E-01,1.02E-103
9.46E-01,4.97E-104
9.47E-01,2.42E-104
9.48E-01,1.17E-104
9.49E-01,5.68E-105
9.50E-01,2.75E-105
9.51E-01,1.33E-105
9.52E-01,6.43E-106
9.53E-01,3.11E-106
9.54E-01,1.50E-106
9.55E-01,7.21E-107
9.56E-01,3.47E-107
9.57E-01,1.67E-107
9.58E-01,8.06E-108
9.59E-01,4.07E-108
9.60E-01,2.87E-108
