Inset,Dawdon,Hawthorn,Easington,Horden
BasePermian,-107,-5.4864,-116.1,-100
SeamC/YardC,-245.4,-37.1856,,
HighMain(E),-327.4,,-255.4,-182
FiveQuarterGoaf(E),,-117.9576,,
MainCoal(G),,-163.9824,-285.3,-200
Maudlin(H),-392.935968,,,
LowMain(J),,-199.9488,-329.8,-270
TopHorizonInset,,-208.1784,,
Hutton(L),-445.06896,-239.8776,-363,-300
NewLevel,,,,-320
Harvey(N),,-282.5496,,
BottomHorizonInset,,-298.0944,,
1300ftLevel,,,-396.8,
SkipInset,-458.026008,,,
SpillageInset,-496.735608,,,
SumpDriftLevel,,,-423.4,
Coal(M?),,-256.032,,
Busty(Q),,-318.516,,
ShaftBottom,-498.3,-335.5848,,